Fact,2007-12-29,2008-12-27,2009-06-27,2009-09-26,2009-12-26,2010-03-27,2010-05-12,2010-06-26,2010-09-25,2010-12-25,2011-03-26,2011-06-25,2011-06-26,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-02-28,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-05-13,2014-05-31,2014-06-28,2014-09-22,2014-09-27,2014-12-27,2015-02-24,2015-02-28,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-05-31,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2017-12-31,2018-03-31,2018-06-08,2018-06-30,2018-09-29,2018-10-31,2018-12-29,2019-01-01,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-24,2022-12-31,2023-02-28,2023-04-01,2023-07-01,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28
EffectiveIncomeTaxRateReconciliationDispositionOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,0.001
TaxesPayableCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664000,,20093000,23152000,2062000,0,10295000,20427000,28066000,22509000
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31068000,7649000,13575000,13211000,,40733000,,-315000,9957000,8949000,26304000,1474000,8251000,8015000,23425000
FiniteLivedIntangibleAssetsNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169602000,,,182211000,202736000,208883000,211571000,214539000,220281000,187244000
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346217000,,,347939000,342988000,359570000,357410000,357066000,362159000,321326000
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915284000,,,1945548000,1927467000,2060376000,2011110000,1939472000,1909024000,1736359000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21547000,,4205000,4341000,,17966000,,14022000,15416000,15567000,18756000,7668000,8715000,8492000,13075000
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,6369000,6369000,6369000,,,,3830000
ProceedsFromInsuranceSettlementInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,4844000,6770000,7468000,,,,
StockRedeemedOrCalledDuringPeriodValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13575000,,,,,,,8949000,,,,,
TreasuryStockCommonValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765183000,,,870456000,901700000,1043990000,1048381000,1054658000,1091748000,1093869000
TreasuryStockReissuedAtLowerThanRepurchasePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,-9957000,,,,,,
AociLossCashFlowHedgeCumulativeGainLossAfterTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20099000,,,,22108000,20989000,19894000,19498000,17777000,21350000
